ciudad,max_min,tempEnero,tempFebrero,tempMarzo,tempAbril,tempMayo,tempJunio,tempJulio,tempAgosto,tempSept,tempOctubre,tempNov,tempDic
Abejorral,max,20,21,21,21,21,21,21,21,21,20,20,20
Abejorral,min,12,12,13,13,13,12,12,12,12,12,13,12
Ábrego,max,23,23,23,23,24,24,24,25,24,23,23,22
Ábrego,min,16,16,16,17,17,17,17,17,17,17,16,16
Acacías,max,31,31,31,30,29,28,28,28,29,30,30,30
Acacías,min,19,20,21,22,22,21,21,20,20,21,21,20
Acevedo,max,25,25,25,24,24,24,24,25,25,25,24,24
Acevedo,min,17,17,17,17,17,17,17,17,17,17,17,17
Achí,max,35,36,37,35,32,32,33,32,31,30,30,32
Achí,min,24,25,26,26,25,25,25,25,24,24,24,24
Aguachica,max,31,32,32,32,31,32,33,33,32,30,30,30
Aguachica,min,23,23,24,24,24,25,25,25,24,24,24,23
Aguazul,max,33,34,33,31,30,29,29,30,31,31,30,31
Aguazul,min,23,24,24,24,23,23,22,23,23,23,23,23
Agustín Codazzi,max,35,36,37,36,35,35,35,35,34,33,33,34
Agustín Codazzi,min,23,24,25,26,26,25,25,25,24,24,24,23
Aipe,max,33,34,33,33,33,33,34,35,35,33,32,32
Aipe,min,24,24,24,24,24,24,24,24,24,24,23,23
Albania,max,31,31,32,32,32,32,32,32,32,31,31,31
Albania,min,23,23,23,24,25,25,25,25,25,24,24,24
Alcalá,max,27,27,27,26,26,26,27,27,27,26,26,26
Alcalá,min,18,19,19,19,19,19,18,18,18,18,18,18
Algeciras,max,27,27,26,26,26,26,26,27,27,27,26,26
Algeciras,min,18,18,18,18,18,18,18,19,19,18,18,18
Amalfi,max,24,24,25,24,24,24,24,24,24,23,23,23
Amalfi,min,15,16,16,16,16,16,15,15,15,15,16,15
Anserma,max,22,22,22,21,21,22,22,22,22,21,21,21
Anserma,min,14,14,14,14,14,14,14,14,14,14,14,14
Ansermanuevo,max,27,28,27,27,27,27,28,28,27,26,26,27
Ansermanuevo,min,19,20,20,20,20,20,20,20,20,19,19,19
Apartadó,max,31,31,32,31,30,29,29,29,29,29,29,30
Apartadó,min,24,24,24,25,25,25,24,24,24,24,24,24
Aracataca,max,35,36,36,36,35,34,35,34,34,33,33,34
Aracataca,min,24,25,26,26,26,26,26,25,25,24,24,24
Arauca,max,35,36,36,34,31,30,29,30,31,31,31,32
Arauca,min,23,24,25,25,24,23,23,23,23,23,23,23
Arauquita,max,31,32,32,31,30,28,28,29,30,31,30,30
Arauquita,min,20,21,22,21,21,20,20,20,21,21,21,21
Arboletes,max,31,31,31,31,30,30,30,30,29,29,29,30
Arboletes,min,25,25,25,26,26,26,26,26,26,25,25,25
Ariguaní,max,36,37,37,36,35,35,35,35,34,33,33,35
Ariguaní,min,23,24,25,26,25,25,25,24,24,23,23,23
Arjona,max,32,32,32,32,32,32,32,32,32,31,31,32
Arjona,min,24,24,25,25,25,25,25,25,25,25,25,24
Armenia,max,26,26,26,25,25,25,25,26,25,25,25,25
Armenia,min,17,17,17,17,17,17,17,17,17,17,17,17
Astrea,max,36,37,37,36,35,35,36,35,34,32,32,34
Astrea,min,24,25,26,26,25,25,25,25,24,23,23,24
Ataco,max,33,33,33,32,32,33,33,34,34,33,31,32
Ataco,min,23,23,23,23,23,23,23,23,23,23,23,23
Ayapel,max,33,35,36,34,31,31,31,31,30,30,30,31
Ayapel,min,23,24,24,25,25,24,24,24,24,24,24,24
Baranoa,max,31,31,31,32,32,32,32,32,32,31,31,31
Baranoa,min,23,24,24,25,25,25,24,24,24,24,24,24
Barbacoas,max,30,30,31,30,30,31,32,33,33,31,31,30
Barbacoas,min,23,23,24,24,24,23,23,23,23,23,23,23
Barbosa,max,24,25,24,24,24,24,23,23,23,23,23,24
Barbosa,max,24,25,24,24,24,24,23,23,23,23,23,24
Barbosa,min,12,13,14,15,15,15,14,14,14,14,14,13
Barbosa,min,12,13,14,15,15,15,14,14,14,14,14,13
Barrancabermeja,max,30,30,31,30,29,29,29,29,29,29,28,29
Barrancabermeja,min,24,24,24,24,24,24,24,24,24,24,24,24
Barrancas,max,31,31,32,32,32,32,32,32,31,31,31,31
Barrancas,min,22,22,23,24,24,25,25,24,24,24,24,23
Barranquilla,max,30,30,31,31,32,32,32,32,32,31,31,30
Barranquilla,min,25,25,25,25,26,26,25,25,25,25,25,25
Belén de Umbría,max,24,24,24,24,24,24,24,24,24,23,23,24
Belén de Umbría,min,17,17,17,17,17,17,17,16,16,16,16,16
Bogotá,max,19,19,19,18,18,18,17,17,18,18,18,19
Bogotá,min,7,8,9,9,10,9,9,8,8,9,9,8
Bolívar (Santander),max,21,21,21,21,21,21,20,20,20,20,20,21
Bolívar (Santander),min,9,10,11,12,12,12,11,11,11,11,11,10
Bolívar (Valle del Cauca),max,28,28,28,28,28,28,29,29,28,27,27,27
Bolívar (Valle del Cauca),min,19,19,19,19,20,19,19,19,19,19,19,19
Bucaramanga,max,27,27,27,27,27,27,27,27,27,27,26,26
Bucaramanga,min,20,21,21,21,21,21,21,21,21,21,21,20
Buenaventura,max,32,32,32,32,31,32,32,32,32,31,31,31
Buenaventura,min,24,24,24,24,25,25,25,24,24,24,24,24
Buenavista,max,31,32,32,31,31,31,31,31,31,30,31,31
Buenavista,min,23,23,24,24,25,24,24,24,24,24,24,23
Buenos Aires,max,27,27,27,27,27,27,28,28,28,27,26,27
Buenos Aires,min,18,18,18,18,18,18,18,18,18,18,18,18
Buesaco,max,21,22,22,22,21,21,21,22,22,22,21,21
Buesaco,min,14,14,14,14,13,13,12,12,13,13,14,14
Buga,max,29,29,29,29,29,29,29,30,29,28,28,28
Buga,min,19,19,19,20,20,19,19,19,19,19,19,19
Bugalagrande,max,28,29,29,28,28,29,29,30,29,27,27,28
Bugalagrande,min,19,19,19,20,20,20,19,19,19,19,19,19
Cáceres,max,33,34,34,33,33,33,33,32,32,32,32,32
Cáceres,min,24,24,25,25,25,25,25,24,24,24,25,24
Caicedonia,max,28,28,28,27,27,27,28,28,28,27,26,27
Caicedonia,min,18,18,19,19,19,18,18,18,18,18,18,18
Cajibío,max,23,23,23,23,23,23,24,24,24,23,23,23
Cajibío,min,14,14,14,14,15,14,14,14,14,14,14,14
Cajicá,max,19,19,19,19,18,18,18,18,18,18,18,19
Cajicá,min,7,8,9,10,10,9,9,9,8,9,9,8
Calamar,max,29,30,30,29,28,27,27,28,29,29,28,28
Calamar,min,22,22,23,23,22,22,21,22,22,22,22,22
Calarcá,max,25,25,25,25,24,24,25,25,25,24,24,25
Calarcá,min,16,17,17,17,17,16,16,16,16,16,16,17
Caldas,max,22,22,23,23,23,23,23,23,23,22,22,22
Caldas,min,14,14,15,15,15,14,14,14,14,14,15,15
Caldono,max,24,24,24,24,24,24,24,25,25,24,23,24
Caldono,min,15,15,15,15,15,15,15,15,15,15,15,15
Cali,max,29,29,29,28,28,28,29,29,29,28,28,28
Cali,min,19,19,19,19,19,19,19,19,19,19,19,19
Caloto,max,28,29,28,28,28,28,29,29,29,28,28,28
Caloto,min,19,19,19,19,19,19,19,19,19,19,19,19
Campo de la Cruz,max,35,35,36,36,35,35,35,35,34,33,33,34
Campo de la Cruz,min,23,24,25,25,25,25,25,25,24,24,24,24
Campoalegre,max,31,31,31,30,30,31,31,32,32,31,30,30
Campoalegre,min,22,23,22,22,22,22,23,23,23,22,22,22
Canalete,max,32,32,33,32,30,30,30,30,29,29,30,31
Canalete,min,23,23,23,24,24,24,24,24,24,24,24,23
Candelaria,max,29,30,30,29,29,29,30,30,30,29,29,29
Candelaria,min,20,20,20,20,20,19,19,19,19,19,19,19
Carepa,max,30,31,32,31,30,29,29,29,29,29,29,30
Carepa,min,24,24,24,24,25,24,24,24,24,24,24,24
Cartagena de Indias,max,30,30,30,31,31,31,31,31,31,31,31,31
Cartagena de Indias,min,24,25,25,26,26,26,26,26,26,26,26,25
Cartagena del Chairá,max,31,31,30,29,29,29,29,30,30,30,29,30
Cartagena del Chairá,min,23,23,23,23,22,22,22,22,23,22,22,22
Cartago,max,28,28,28,28,28,28,28,29,28,27,27,28
Cartago,min,20,20,20,20,20,20,20,20,20,20,20,20
Caucasia,max,32,34,34,33,31,30,30,30,30,29,30,31
Caucasia,min,23,23,24,24,24,24,24,24,24,24,24,23
Cereté,max,34,35,36,34,33,32,32,32,31,31,31,33
Cereté,min,24,24,24,25,25,25,25,25,25,24,24,24
Chaparral,max,31,31,31,30,30,31,31,32,32,31,30,30
Chaparral,min,21,21,21,21,21,21,21,21,21,21,21,21
Chía,max,19,19,19,19,18,18,18,18,18,18,18,19
Chía,min,7,8,9,10,10,9,9,9,8,9,9,8
Chigorodó,max,30,31,32,31,29,29,29,29,29,29,29,29
Chigorodó,min,24,24,24,24,25,25,24,24,24,24,24,24
Chinchiná,max,26,26,26,25,25,25,26,26,26,25,25,25
Chinchiná,min,17,18,18,18,18,17,17,17,17,17,17,17
Chinú,max,34,35,35,34,33,33,33,32,32,32,32,33
Chinú,min,22,23,23,24,24,24,23,23,23,23,23,22
Chiquinquirá,max,19,19,19,18,18,18,17,17,18,18,18,18
Chiquinquirá,min,7,7,8,9,9,9,8,8,8,8,8,7
Chiriguaná,max,36,37,38,37,35,35,36,36,34,32,32,34
Chiriguaná,min,24,25,26,26,26,26,26,26,25,25,24,24
Ciénaga de Oro,max,35,36,37,35,33,33,33,33,32,31,32,33
Ciénaga de Oro,min,23,24,24,25,25,25,25,24,24,24,24,24
Ciénaga,max,33,33,33,33,33,33,33,32,32,32,32,32
Ciénaga,min,24,25,26,27,27,27,27,26,26,26,25,25
Cimitarra,max,29,29,29,29,29,29,29,29,29,29,28,28
Cimitarra,min,24,24,24,24,24,24,24,23,24,24,24,24
Circasia,max,24,24,24,24,23,23,24,24,24,23,23,24
Circasia,min,15,16,16,16,16,15,15,15,15,15,15,16
Ciudad Bolívar,max,23,24,24,23,23,24,24,24,23,23,23,23
Ciudad Bolívar,min,16,17,17,17,17,17,16,16,16,16,16,16
Cocorná,max,25,26,26,26,26,26,26,26,26,25,25,25
Cocorná,min,17,17,17,17,17,17,16,16,17,17,17,17
Cogua,max,18,18,18,18,18,17,17,17,18,18,18,18
Cogua,min,6,7,8,9,9,9,8,8,8,8,8,7
Concordia,max,35,36,37,36,34,34,35,34,33,32,32,34
Concordia,min,23,24,25,25,24,24,24,24,23,23,23,23
Corinto,max,29,29,29,29,29,29,29,30,30,29,28,29
Corinto,min,19,20,20,20,19,19,19,19,19,19,19,19
Corozal,max,34,34,35,34,33,32,33,32,32,31,32,33
Corozal,min,22,22,23,24,24,23,23,23,23,23,23,22
Cota,max,19,19,19,19,18,18,18,18,18,18,19,19
Cota,min,7,8,9,10,10,9,9,9,8,9,9,8
